tract,imprv_pct,count
001300,67.19,3
003900,0.0,1
005206,0.0,1
010100,50.0,717
010200,50.0,3260
010300,50.62,840
010400,50.0,1110
010500,50.0,570
010600,50.0,350
010700,54.63,232
010800,50.0,955
010900,50.0,799
011000,50.0,786
011100,50.0,520
011200,50.0,826
011300,50.0,261
011700,40.0,322
011800,50.0,45
011901,50.0,666
011902,50.0,2244
012000,50.0,127
012100,50.0,236
012201,50.0,300
012202,85.76,179
012301,53.85,19
012302,75.0,2425
012401,56.22,64
012402,40.0,251
012501,40.0,146
012502,61.29,25
012601,50.19,479
012602,50.0,598
012700,50.0,892
012800,50.0,1075
012901,50.0,456
012902,50.0,677
013000,50.0,986
013101,50.0,672
013102,50.0,786
013200,50.0,1222
013300,45.76,1153
013400,49.93,947
013500,50.0,502
015100,50.0,671
015200,50.0,795
015300,50.0,494
015400,50.0,1266
015500,66.66,705
015600,53.94,669
015700,50.0,1493
015801,50.0,568
015802,50.0,436
015900,50.0,772
016000,50.0,761
016100,40.25,244
016200,50.0,1631
016300,48.71,541
016400,50.0,535
016500,50.0,900
016600,50.0,775
016700,50.0,959
016801,50.0,517
016802,45.23,529
016900,50.0,624
017000,49.54,1407
017101,50.0,947
017102,49.89,802
017601,40.0,726
017700,50.0,332
017801,50.0,814
017802,40.0,1002
017902,48.96,2
018000,42.97,1120
020100,50.0,845
020200,50.0,836
020300,50.0,609
020401,44.71,985
020402,50.0,1043
020500,47.36,739
020600,49.3,1362
020700,50.0,975
020800,50.0,680
020900,50.0,522
021000,50.0,750
021100,49.85,1127
021200,42.93,937
021300,44.52,832
021400,46.7,952
021500,46.47,1386
021600,50.0,1593
021700,50.0,1498
021800,42.67,1332
022600,50.0,754
022702,50.0,642
022704,46.6,1237
022801,50.0,1027
022802,50.0,313
022803,46.09,657
022901,50.0,419
022902,46.02,402
022903,43.8,543
023001,55.75,1195
023003,52.39,1034
023102,55.69,578
023103,46.41,140
023200,46.77,1087
023300,50.0,806
023400,47.72,672
025100,50.0,1080
025200,51.52,1583
025300,50.0,1013
025401,51.25,825
025402,48.49,989
025403,50.0,1101
025500,43.47,1974
025600,48.42,1417
025701,50.0,1133
025702,50.0,853
025800,48.14,419
025900,52.88,1257
026001,44.13,1055
026002,46.26,885
026003,46.98,1127
026004,43.66,877
026100,45.62,1379
026200,46.76,1578
026301,46.8,933
026302,48.89,1154
026303,50.0,1011
026401,49.74,813
026402,45.52,1032
026403,48.02,793
026404,49.74,453
030101,50.0,876
030102,48.78,1243
030201,50.0,769
030202,50.0,769
030301,50.0,1758
030302,47.36,1255
030400,48.63,1760
030500,44.44,939
030600,44.28,860
030700,43.99,2701
030800,45.45,1970
030900,44.76,2359
031000,45.33,1278
031100,45.45,1986
031201,48.28,1264
031202,45.35,755
031301,47.36,1184
031302,40.0,1635
031400,42.49,1557
032601,50.15,921
032602,48.71,1171
032700,46.14,1913
032801,49.11,1129
032802,48.92,1214
032901,48.22,1561
032902,47.82,1254
033000,44.94,2401
033100,47.33,1530
033201,0.0,6
033203,26.67,16
033204,26.7,17
035100,46.45,2239
035201,44.44,1552
035202,40.66,906
035300,48.27,2135
035400,44.25,1970
040100,49.92,784
040200,50.0,986
042601,51.01,673
042602,50.0,707
042700,50.0,978
042800,47.64,854
045100,45.88,875
045200,50.0,1414
047600,50.0,1195
047701,48.36,888
047702,49.73,873
047801,47.7,971
047802,48.8,824
047901,44.97,1794
047902,44.89,935
060100,42.12,27
060400,50.0,160
060502,46.38,226
060700,40.0,2812
061000,48.45,895
061100,50.0,177
061200,45.67,722
061400,50.0,1467
061500,50.0,5672
101100,62.58,1052
101200,62.92,962
102100,64.1,947
102202,60.69,1954
102203,62.41,1273
103100,61.15,2665
103200,58.06,1894
104101,60.0,2606
104102,59.43,1696
104200,64.96,1996
104300,56.01,700
105000,59.09,1422
106001,60.97,977
106002,57.32,1964
107000,58.74,2348
108100,59.41,2472
108200,60.0,1825
109001,54.95,932
109002,53.38,1324
110100,54.22,1723
110200,56.61,2222
111000,51.12,1162
112100,55.0,1281
112201,58.82,381
112202,56.0,926
113000,55.75,1388
