"geo_id","Y","N","U"
"06001005206",1,0,0
"06001352202",27,1,0
"06001353001",19,2,0
"06001354001",5,0,0
"06001355112",0,1,0
"06001400100",1117,252,10
"06001400200",496,123,3
"06001400300",1020,443,5
"06001400400",758,349,5
"06001400500",617,325,4
"06001400600",268,174,1
"06001400700",710,415,4
"06001400800",617,467,7
"06001400900",388,277,0
"06001401000",756,645,4
"06001401100",404,391,2
"06001401200",451,253,7
"06001401300",259,191,3
"06001401400",314,410,3
"06001401500",332,342,3
"06001401600",148,204,5
"06001401700",572,399,3
"06001401800",144,200,2
"06001402200",256,296,2
"06001402400",171,225,2
"06001402500",92,67,1
"06001402600",37,58,1
"06001402700",100,203,1
"06001402800",105,88,0
"06001402900",2,11,0
"06001403000",426,547,0
"06001403100",236,122,0
"06001403300",597,415,2
"06001403400",403,289,1
"06001403501",299,289,2
"06001403502",286,235,4
"06001403600",420,266,2
"06001403701",251,178,2
"06001403702",242,146,1
"06001403800",672,300,5
"06001403900",735,346,2
"06001404000",451,403,1
"06001404101",598,347,5
"06001404102",223,166,2
"06001404200",1128,171,5
"06001404300",1101,182,6
"06001404400",1886,414,16
"06001404501",607,84,2
"06001404502",2024,330,8
"06001404600",1620,204,9
"06001404700",709,98,0
"06001404800",588,177,2
"06001404900",1062,336,8
"06001405000",895,227,2
"06001405100",1473,148,3
"06001405200",652,369,7
"06001405301",135,165,1
"06001405302",65,157,0
"06001405401",180,218,1
"06001405402",134,179,2
"06001405500",345,367,2
"06001405600",337,250,2
"06001405700",381,248,1
"06001405800",491,318,2
"06001405901",274,264,1
"06001405902",261,265,1
"06001406000",220,203,1
"06001406100",451,324,2
"06001406201",285,273,0
"06001406202",183,200,3
"06001406300",459,262,4
"06001406400",342,133,1
"06001406500",595,412,1
"06001406601",691,396,3
"06001406602",258,181,2
"06001406700",1512,356,6
"06001406800",948,259,6
"06001406900",861,249,1
"06001407000",791,469,6
"06001407101",322,214,1
"06001407102",698,269,3
"06001407200",466,378,2
"06001407300",235,169,4
"06001407400",358,269,2
"06001407500",319,328,2
"06001407600",947,471,7
"06001407700",1327,307,4
"06001407800",492,144,0
"06001407900",821,204,2
"06001408000",820,132,8
"06001408100",2145,546,24
"06001408200",773,385,3
"06001408300",1133,380,6
"06001408400",445,437,5
"06001408500",691,521,4
"06001408600",785,563,6
"06001408700",958,692,7
"06001408800",466,369,0
"06001408900",302,287,5
"06001409000",586,316,3
"06001409100",402,211,2
"06001409200",495,278,2
