"geo_id","2004_Y","2004_N","2004_U"
"06001400100",13,0,0
"06001400200",5,2,0
"06001400300",8,1,0
"06001400400",7,1,0
"06001400500",7,1,0
"06001400600",4,1,0
"06001400700",11,4,0
"06001400800",10,3,0
"06001400900",6,0,0
"06001401000",8,11,1
"06001401100",4,3,0
"06001401200",3,0,0
"06001401300",0,1,1
"06001401400",4,3,0
"06001401500",3,1,0
"06001401600",1,3,0
"06001401700",2,1,0
"06001401800",3,6,0
"06001402200",4,0,1
"06001402400",5,6,1
"06001402500",0,0,2
"06001402700",1,4,0
"06001402800",1,3,0
"06001403000",1,0,0
"06001403400",1,0,0
"06001403501",6,2,0
"06001403502",2,0,0
"06001403600",5,0,1
"06001403701",5,1,0
"06001403702",5,1,0
"06001403800",7,1,0
"06001403900",7,6,0
"06001404000",4,1,0
"06001404101",9,0,0
"06001404102",6,0,0
"06001404200",8,0,0
"06001404300",16,0,0
"06001404400",15,7,1
"06001404501",11,2,0
"06001404502",26,1,1
"06001404600",15,1,0
"06001404700",12,1,0
"06001404800",6,1,0
"06001404900",13,2,0
"06001405000",8,2,0
"06001405100",16,3,0
"06001405200",6,3,0
"06001405301",0,2,0
"06001405401",3,1,0
"06001405402",1,1,0
"06001405500",5,6,0
"06001405600",3,1,0
"06001405700",9,5,0
"06001405800",2,3,0
"06001405901",1,1,2
"06001405902",4,1,0
"06001406000",1,1,0
"06001406100",1,1,0
"06001406201",6,3,0
"06001406202",3,2,0
"06001406300",12,2,1
"06001406400",6,3,0
"06001406500",6,1,0
"06001406601",13,1,0
"06001406602",6,0,0
"06001406700",10,2,0
"06001406800",12,2,1
"06001406900",14,1,0
"06001407000",13,3,0
"06001407101",3,1,0
"06001407102",9,3,0
"06001407200",4,1,0
"06001407300",1,3,0
"06001407400",6,1,0
"06001407500",8,6,0
"06001407600",17,4,0
"06001407700",25,5,1
"06001407800",3,3,0
"06001407900",13,2,1
"06001408000",11,1,0
"06001408100",17,0,1
"06001408200",16,2,0
"06001408300",26,4,0
"06001408400",16,1,0
"06001408500",13,7,1
"06001408600",17,7,0
"06001408700",12,5,0
"06001408800",9,2,0
"06001408900",8,2,0
"06001409000",13,0,0
"06001409100",2,1,0
"06001409200",4,6,0
"06001409300",11,0,0
"06001409400",6,4,0
"06001409500",6,0,0
"06001409600",4,7,1
"06001409700",8,4,0
"06001409800",8,2,0
"06001409900",21,1,0
"06001410000",17,1,1
"06001410100",9,2,0
"06001410200",5,1,0
"06001410300",5,1,0
"06001410400",12,3,0
"06001410500",1,0,0
"06001420100",5,0,0
"06001420200",2,2,0
"06001420300",14,4,0
"06001420500",1,1,0
"06001420600",7,0,0
"06001421100",7,1,0
"06001421200",10,1,0
"06001421300",9,3,0
"06001421400",5,0,0
"06001421500",13,0,0
"06001421600",4,2,0
"06001421700",4,3,0
