"geo_id",1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"06001005206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001352202",1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"06001353001",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"06001354001",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"06001355112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001400100",4,3,6,7,7,167,282,196,60,19,38,56,35,25,20,21,16,11,17,10,9,7,9,3,1,0,0
"06001400200",0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001400300",0,0,2,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"06001400400",5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0
"06001400500",0,1,0,2,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,5,4,0,0,0,0,0,0
"06001400600",1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"06001400700",0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,1,0,1,4,1,1,0,0,0,1,0,0
"06001400800",3,0,0,1,1,0,0,0,0,0,0,1,1,1,39,3,0,65,97,7,44,0,4,0,1,0,0
"06001400900",2,0,2,0,1,1,0,0,0,0,0,0,6,0,1,1,0,0,0,1,1,0,1,0,0,0,0
"06001401000",4,1,2,1,3,0,0,1,0,0,1,0,0,1,2,2,0,64,5,2,20,1,0,0,0,0,0
"06001401100",0,0,1,0,3,1,0,0,0,0,0,0,5,1,0,4,26,0,5,12,4,27,0,3,0,0,0
"06001401200",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,11,19,0,0,0,2,0,0,0
"06001401300",0,1,1,1,0,0,0,1,0,0,0,0,0,0,26,12,45,40,0,8,127,0,1,0,0,0,0
"06001401400",6,4,0,1,0,0,0,1,0,0,0,1,0,0,0,6,0,4,0,2,3,0,0,1,0,0,0
"06001401500",1,1,1,0,0,8,0,0,0,0,0,0,1,0,39,2,14,1,12,3,1,0,0,0,0,0,0
"06001401600",1,2,1,0,2,1,0,0,0,0,0,2,0,6,0,27,1,2,2,1,2,0,1,0,0,0,0
"06001401700",1,2,3,2,13,5,1,0,0,0,0,4,1,3,20,5,18,97,39,33,30,156,19,23,0,0,0
"06001401800",0,1,2,2,0,1,0,1,0,0,0,2,1,0,0,1,0,2,5,5,1,0,1,0,0,0,0
"06001402200",2,1,9,5,2,1,0,0,2,0,0,0,0,0,10,1,2,5,2,13,12,0,0,0,0,0,0
"06001402400",2,4,1,2,1,0,0,6,15,0,0,1,0,0,0,5,0,0,0,9,1,0,0,0,0,0,0
"06001402500",0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001402600",0,0,0,1,0,6,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0
"06001402700",0,0,8,10,0,1,9,0,0,0,0,5,0,0,0,0,0,1,0,0,18,7,2,1,0,0,0
"06001402800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,2,0,0,0,0,0
"06001402900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001403000",0,44,5,0,0,250,0,0,0,0,0,0,0,0,0,0,88,6,0,1,180,0,0,0,0,0,0
"06001403100",0,0,0,0,0,0,0,0,3,0,94,1,1,17,0,0,0,111,1,0,87,1,0,0,0,0,0
"06001403300",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,220,1,0,292,0,0,1,0,0,1,0,0
"06001403400",1,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,49,1,0,0,0,0,0
"06001403501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,1,0,0,0,0,0
"06001403502",0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"06001403600",0,0,1,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001403701",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001403702",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001403800",0,0,0,1,9,0,1,0,0,0,4,0,0,0,0,0,13,1,1,0,0,1,0,0,0,0,0
"06001403900",15,2,0,37,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"06001404000",4,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,1,0,0,0,0,0,0,0
"06001404101",1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,27,0,0,0,0,0,0,0
"06001404102",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001404200",2,1,0,1,5,63,60,39,14,11,26,8,5,2,3,1,1,3,3,3,1,2,2,6,0,0,0
"06001404300",3,1,2,2,6,71,141,77,39,30,28,14,12,7,7,5,2,4,0,2,3,2,0,0,1,0,0
"06001404400",10,12,11,9,22,163,118,133,182,169,166,51,20,20,14,22,16,15,12,10,12,7,4,7,0,0,0
"06001404501",1,3,2,2,3,1,1,1,1,0,0,2,4,1,0,3,1,0,1,1,0,0,0,0,0,0,0
"06001404502",8,8,15,17,5,10,11,4,11,8,15,13,14,11,15,10,8,8,3,5,12,3,2,3,0,0,0
"06001404600",14,15,20,15,12,8,15,2,4,3,5,6,9,6,4,7,14,11,7,1,5,2,4,2,0,0,0
"06001404700",1,0,2,3,6,2,0,1,1,0,1,1,1,3,0,1,1,0,0,0,3,1,0,0,0,0,0
"06001404800",1,0,0,8,1,1,5,1,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"06001404900",0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,29,0,0,0
"06001405000",3,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"06001405100",1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,4,1,0,0,1,0,0,0,0,0,0
"06001405200",0,12,11,0,0,0,0,1,0,4,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
"06001405301",0,0,2,0,0,0,1,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001405302",0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"06001405401",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"06001405402",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"06001405500",0,0,0,0,0,1,2,2,0,1,0,0,1,0,0,1,5,0,0,4,0,88,1,0,0,0,0
"06001405600",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001405700",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"06001405800",0,2,0,1,5,0,0,0,0,0,2,1,0,1,0,4,1,0,2,0,0,1,0,1,0,0,0
"06001405901",2,1,5,1,0,1,0,0,0,2,0,0,0,0,2,0,5,0,1,0,2,0,0,0,0,0,0
"06001405902",1,0,2,1,0,0,0,0,0,0,1,1,0,2,1,0,18,0,0,0,0,0,0,0,0,0,0
"06001406000",0,1,1,0,0,0,0,2,4,0,0,1,1,0,0,93,1,4,1,5,0,0,0,0,1,0,0
"06001406100",0,0,2,0,0,0,0,7,0,53,1,0,0,0,28,0,21,166,6,0,7,0,0,0,0,0,0
"06001406201",1,2,0,19,2,1,1,0,1,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0
"06001406202",1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,2,4,0,0,0,0,0
"06001406300",0,2,2,0,1,0,1,0,2,0,0,0,3,1,0,0,1,1,0,0,4,9,4,0,0,0,0
"06001406400",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001406500",0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,4,1,1,1,0,0,0,0,0,0,0
"06001406601",0,0,0,39,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"06001406602",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"06001406700",0,0,7,0,4,2,2,1,1,1,1,0,0,3,1,2,0,2,0,4,0,0,1,0,0,0,0
"06001406800",3,17,6,2,1,0,2,2,0,1,0,0,1,2,1,1,1,1,1,1,12,0,0,1,1,0,0
"06001406900",2,2,0,1,1,7,1,2,0,1,0,6,1,0,1,0,4,14,0,0,12,0,0,0,0,0,0
"06001407000",1,1,0,4,0,2,0,1,0,0,0,0,0,0,0,1,1,0,2,2,3,1,0,1,0,0,0
"06001407101",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001407102",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
