geo_id,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
06001352202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06001353001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06001354001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
06001400100,2,12,7,7,9,8,19,9,17,13,15,22,24,5,10,4,8,8,2,3,3,2,1,0,5,4,2
06001400200,1,0,2,0,2,0,0,1,1,1,3,1,2,4,3,1,3,0,0,0,1,0,0,0,0,0,0
06001400300,1,2,6,6,2,3,1,2,5,30,7,5,2,4,2,7,3,4,5,2,3,0,1,2,2,1,1
06001400400,2,5,4,3,1,0,2,3,4,2,3,2,4,2,3,2,4,3,6,4,4,1,1,0,4,1,1
06001400500,0,4,5,2,0,4,0,1,3,3,5,4,8,2,2,4,7,3,5,5,5,3,7,4,7,5,3
06001400600,0,0,4,0,0,0,2,0,2,1,4,5,8,6,6,5,3,5,5,3,1,3,7,6,2,5,2
06001400700,5,1,1,5,3,1,8,6,4,7,6,6,11,7,6,11,11,13,11,10,9,11,11,11,24,10,3
06001400800,2,3,3,2,2,1,1,3,5,2,5,3,4,5,4,3,7,8,14,11,8,6,8,13,10,3,6
06001400900,2,0,6,0,1,2,2,3,1,0,3,1,3,5,3,8,3,8,9,3,5,5,6,7,5,9,1
06001401000,2,6,9,1,8,9,8,5,13,12,8,16,17,15,9,12,15,30,13,14,13,14,15,21,19,19,2
06001401100,3,6,4,3,0,2,3,3,1,8,3,8,3,3,4,6,5,2,5,3,5,2,3,2,4,4,1
06001401200,0,4,4,2,4,0,1,1,0,4,0,2,2,3,3,1,3,3,2,1,4,3,1,4,0,2,1
06001401300,1,0,0,1,1,0,0,0,1,0,0,0,3,4,4,2,5,6,5,1,3,1,5,3,3,6,0
06001401400,2,9,5,3,3,5,7,7,11,7,6,10,13,9,17,8,15,26,16,18,8,11,12,6,3,9,5
06001401500,2,2,3,2,4,2,1,3,5,7,8,1,8,4,9,6,7,19,15,8,8,6,9,6,5,8,3
06001401600,1,3,1,5,3,0,2,1,2,2,0,1,6,2,6,5,9,15,11,8,6,9,4,5,2,2,0
06001401700,0,1,0,1,3,7,2,0,3,2,8,11,10,4,6,6,9,16,13,6,3,7,10,10,6,10,2
06001401800,1,3,3,2,2,2,2,3,2,7,2,2,3,9,5,4,9,9,9,2,5,4,10,12,1,5,0
06001402200,3,5,2,1,2,3,1,2,4,6,5,4,6,1,4,4,11,11,4,1,0,2,2,6,6,3,1
06001402400,0,3,3,1,1,1,1,0,2,3,2,2,5,8,1,5,4,4,4,2,1,6,4,3,3,1,2
06001402500,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,2,1,0,0,0
06001402600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0
06001402700,1,0,1,2,2,2,0,1,3,0,3,1,3,0,1,3,1,9,6,1,3,3,0,3,2,2,0
06001402800,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,0
06001402900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06001403000,0,1,0,2,1,1,0,3,0,2,2,1,1,1,0,1,2,5,4,3,1,3,2,0,0,0,1
06001403100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,4,1,2,2,2,1,1
06001403300,0,0,0,0,0,1,4,6,2,0,1,2,4,4,5,5,9,6,3,7,3,4,6,3,4,6,4
06001403400,0,0,3,1,4,0,0,3,0,2,1,3,2,2,2,1,4,1,16,2,1,3,3,1,5,3,0
06001403501,0,6,0,1,2,0,0,0,3,3,4,5,4,2,5,1,2,4,8,5,1,1,2,0,3,2,0
06001403502,1,4,0,3,1,1,0,0,3,2,4,3,7,14,7,8,7,8,5,3,3,1,2,2,2,2,0
06001403600,3,5,15,1,6,1,1,1,1,1,2,1,4,2,5,5,2,3,5,3,0,1,0,0,10,4,1
06001403701,0,4,6,5,1,0,0,0,0,3,2,1,3,6,6,4,5,3,0,0,1,1,2,1,3,1,0
06001403702,0,1,2,15,1,0,1,1,0,0,2,10,6,4,1,1,1,2,2,4,0,4,1,4,3,1,0
06001403800,3,5,5,4,2,1,1,0,1,7,2,5,4,1,4,1,3,6,1,2,1,0,3,1,1,2,1
06001403900,2,8,12,7,4,2,1,3,0,5,4,5,8,8,6,7,6,9,6,3,1,0,3,7,4,12,1
