"geo_id","res_imprv_pct_median","res_imprv_pct_stdev","res_count","com_imprv_pct_median","com_imprv_pct_stdev","com_count"
"06001352202",70.0,0.0,2,"","",0
"06001354001",70.0,0.0,1,"","",0
"06001400100",70.0,0.0,66,"","",0
"06001400200",70.0,2.6,15,"","",0
"06001400300",70.0,8.7,58,20.23,24.7,4
"06001400400",70.0,11.4,43,49.47,10.2,2
"06001400500",70.0,14.2,47,"","",0
"06001400600",70.0,0.0,21,"","",0
"06001400700",70.0,2.6,69,72.66,3.3,2
"06001400800",70.0,21.9,46,"","",0
"06001400900",70.0,0.0,34,"","",0
"06001401000",70.0,1.3,90,46.34,29.7,2
"06001401100",70.0,3.4,31,74.04,7.7,5
"06001401200",70.0,1.7,25,76.82,0.4,2
"06001401300",70.0,10.5,45,70.49,8.2,9
"06001401400",70.0,3.2,59,38.07,10.3,2
"06001401500",70.0,3.4,49,"","",0
"06001401600",70.0,13.3,27,65.25,6.3,2
"06001401700",70.0,0.0,101,"","",0
"06001401800",70.0,1.1,19,3.15,0.0,1
"06001402200",70.0,2.0,33,48.21,33.9,2
"06001402400",70.0,1.2,16,66.66,0.0,1
"06001402500",70.0,0.0,3,"","",0
"06001402600",70.0,0.0,3,"","",0
"06001402700",70.0,0.6,15,72.96,0.2,2
"06001402800",70.0,0.8,16,75.36,7.1,6
"06001402900","","",0,55.95,26.3,12
"06001403000",70.0,8.0,91,70.0,4.7,15
"06001403100",70.0,0.0,11,0.74,42.3,4
"06001403300",70.0,2.9,92,70.0,9.4,3
"06001403400",70.0,1.7,38,"","",0
"06001403501",70.0,1.3,35,22.77,12.3,3
"06001403502",70.0,1.4,36,"","",0
"06001403600",70.0,0.8,40,"","",0
"06001403701",70.0,1.8,23,"","",0
"06001403702",70.0,1.7,21,87.01,0.0,1
"06001403800",70.0,3.8,42,"","",0
"06001403900",70.0,1.2,46,70.32,13.0,3
"06001404000",70.0,4.6,34,"","",0
"06001404101",70.0,0.3,30,46.1,15.9,3
"06001404102",70.0,1.6,9,"","",0
"06001404200",70.0,6.4,60,"","",0
"06001404300",70.0,0.0,45,"","",0
"06001404400",70.0,4.3,114,"","",0
"06001404501",70.0,1.0,24,"","",0
"06001404502",70.0,2.6,112,88.23,0.0,1
"06001404600",70.0,9.8,82,"","",0
"06001404700",70.0,4.6,42,"","",0
"06001404800",70.0,3.3,36,"","",0
"06001404900",70.0,0.7,57,44.47,33.0,4
"06001405000",70.0,11.4,54,85.52,0.0,1
"06001405100",70.0,0.4,63,"","",0
"06001405200",70.0,3.1,43,82.86,14.4,2
"06001405301",70.0,0.2,11,"","",0
"06001405302",70.0,1.5,5,72.07,2.0,2
"06001405401",70.0,2.1,11,"","",0
"06001405402",70.0,2.0,8,57.23,7.2,2
"06001405500",70.0,1.5,53,83.97,14.0,2
"06001405600",70.0,1.8,27,"","",0
"06001405700",70.0,3.0,29,77.77,0.0,1
"06001405800",70.0,0.9,29,"","",0
"06001405901",70.0,1.5,21,49.2,36.7,2
"06001405902",70.0,1.2,26,"","",0
"06001406000",70.0,1.3,36,38.51,38.5,2
"06001406100",70.0,2.4,43,71.97,26.5,9
"06001406201",70.0,1.6,34,"","",0
"06001406202",70.0,0.3,13,55.67,2.2,2
"06001406300",70.0,1.2,25,54.73,12.4,3
"06001406400",70.0,1.6,21,70.37,0.0,1
"06001406500",70.0,2.1,50,58.22,0.0,1
"06001406601",70.0,1.4,52,"","",0
"06001406602",70.0,2.1,24,79.8,0.0,1
"06001406700",70.0,2.0,77,77.42,4.8,4
"06001406800",70.0,0.0,63,60.69,0.0,1
"06001406900",70.0,5.4,49,"","",0
"06001407000",70.0,8.4,69,"","",0
"06001407101",70.0,0.0,27,"","",0
"06001407102",70.0,1.3,43,"","",0
"06001407200",70.0,1.0,38,59.38,2.0,2
"06001407300",70.0,0.0,21,59.14,0.0,1
"06001407400",70.0,0.7,30,36.55,20.3,6
"06001407500",70.0,1.3,33,76.78,7.8,2
"06001407600",70.0,0.6,84,"","",0
"06001407700",70.0,6.1,102,"","",0
"06001407800",70.0,4.6,40,"","",0
"06001407900",70.0,0.9,63,56.52,0.0,1
"06001408000",70.0,9.3,44,"","",0
"06001408100",70.0,6.4,197,"","",0
"06001408200",70.0,0.1,82,"","",0
"06001408300",70.0,1.6,99,"","",0
"06001408400",70.0,5.6,56,57.14,11.3,3
"06001408500",70.0,7.7,84,77.75,4.0,2
"06001408600",70.0,0.0,78,50.76,4.8,2
"06001408700",70.0,6.6,102,72.5,12.5,2
"06001408800",70.0,10.8,44,"","",0
"06001408900",70.0,11.0,43,"","",0
"06001409000",70.0,5.2,38,26.48,23.9,6
"06001409100",70.0,4.5,33,"","",0
"06001409200",70.0,1.0,49,"","",0
"06001409300",70.0,2.2,63,"","",0
"06001409400",70.0,0.9,55,58.33,0.0,1
"06001409500",70.0,6.3,47,67.64,3.8,2
"06001409600",70.0,2.0,51,77.64,0.0,1
"06001409700",70.0,2.7,54,"","",0
"06001409800",70.0,9.6,57,55.4,0.0,1
"06001409900",70.0,0.5,58,20.93,0.0,1
"06001410000",70.0,0.5,48,"","",0
"06001410100",70.0,1.0,57,66.66,0.0,1
"06001410200",70.0,4.4,45,70.45,0.0,1
"06001410300",70.0,0.6,41,60.83,0.0,1
"06001410400",70.0,5.9,62,"","",0
"06001410500",70.0,0.0,5,"","",0
"06001420100",70.0,0.0,18,"","",0
"06001420200",70.0,9.0,66,19.87,0.0,1
"06001420300",70.0,5.4,55,"","",0
