"geo_id","1988_price_sqft","1988_count","1989_price_sqft","1989_count","1990_price_sqft","1990_count","1991_price_sqft","1991_count","1992_price_sqft","1992_count","1993_price_sqft","1993_count","1994_price_sqft","1994_count","1995_price_sqft","1995_count","1996_price_sqft","1996_count","1997_price_sqft","1997_count","1998_price_sqft","1998_count","1999_price_sqft","1999_count","2000_price_sqft","2000_count","2001_price_sqft","2001_count","2002_price_sqft","2002_count","2003_price_sqft","2003_count","2004_price_sqft","2004_count","2005_price_sqft","2005_count","2006_price_sqft","2006_count","2007_price_sqft","2007_count","2008_price_sqft","2008_count","2009_price_sqft","2009_count","2010_price_sqft","2010_count","2011_price_sqft","2011_count","2012_price_sqft","2012_count","2013_price_sqft","2013_count","2014_price_sqft","2014_count"
"06001400100",303.44,22,310.49,24,296.74,17,275.44,13,74.1,36,100.04,27,262.54,37,258.42,23,263.43,22,281.22,21,315.63,21,379.13,20,425.58,24,461.91,12,458.04,21,490.87,14,532.57,15,556.85,25,539.66,16,541.53,15,450.57,4,396.68,11,410.16,12,404.15,13,353.65,18,445.42,14,436.62,8
"06001400200",240.06,3,239.45,1,213.72,2,267.18,1,261.32,1,255.12,2,205.47,2,192.39,3,172.36,5,199.02,5,351.03,2,165.05,3,148.9,2,318.47,2,259.74,3,342.92,4,412.06,1,479.13,2,358.01,2,"",0,"",0,582.14,1,286.42,2,190.79,1,546.29,2,380.7,2,"",0
"06001400300",192.6,13,288.83,12,226.09,5,161.31,9,227.11,8,148.13,4,237.17,16,247.08,5,177.89,7,265.74,5,237.57,17,270.58,14,346.65,10,319.57,6,380.1,7,403.67,11,393.1,16,488.32,11,531.38,12,535.91,15,573.02,8,401.99,6,491.67,8,333.17,12,371.71,14,492.11,7,426.88,8
"06001400400",227.88,10,264.0,15,177.45,7,162.41,8,226.83,13,149.8,7,243.9,11,181.82,6,140.67,8,183.09,13,187.17,12,219.11,12,311.08,13,298.71,12,336.73,12,371.3,16,489.42,7,383.65,9,443.45,10,578.22,21,289.06,3,437.51,12,452.46,9,336.49,14,400.56,10,402.97,14,458.85,6
"06001400500",151.08,15,188.24,11,182.44,8,142.95,7,138.21,6,107.89,2,97.81,6,109.69,5,118.94,2,92.54,7,118.22,13,109.76,10,229.02,14,239.45,8,260.12,4,302.59,11,353.1,7,403.18,9,493.07,31,509.8,18,366.64,6,197.49,15,276.85,15,164.29,9,208.51,19,296.57,19,371.99,5
"06001400600",138.35,2,193.15,2,144.31,6,167.26,3,90.61,2,176.74,2,87.32,5,135.65,1,51.11,3,105.17,2,110.22,7,103.53,8,157.68,6,174.07,7,270.83,3,376.03,1,468.88,1,315.99,5,514.66,12,262.23,3,193.38,3,161.32,7,195.6,9,142.14,4,266.67,9,318.75,5,203.35,3
"06001400700",93.85,7,123.67,10,136.87,5,126.49,9,108.26,2,98.53,8,100.33,2,84.48,8,92.6,8,97.32,6,126.0,6,114.58,7,190.53,21,207.79,14,226.61,16,208.66,12,233.25,10,306.32,16,279.85,20,275.58,18,184.9,7,160.55,28,210.64,15,145.76,21,188.67,21,236.03,15,246.71,12
"06001400800",104.75,9,100.6,7,102.54,6,160.06,1,152.99,4,104.89,4,80.66,5,105.32,6,91.48,4,65.02,5,85.48,5,109.24,13,180.97,8,180.05,6,296.41,20,410.16,16,369.44,16,601.34,70,483.12,60,474.15,25,354.11,5,236.41,23,287.55,33,218.79,33,233.89,28,313.86,26,366.18,19
"06001400900",85.78,14,103.88,4,123.13,11,151.14,5,84.49,5,91.84,6,94.75,4,78.49,8,38.0,3,63.31,3,92.81,7,67.25,9,166.75,13,201.53,8,206.64,7,221.65,15,268.68,11,327.4,11,421.59,14,257.62,9,91.92,1,141.89,20,220.48,14,151.26,12,165.35,7,228.53,10,342.07,5
"06001401000",111.32,18,76.64,9,93.04,10,110.41,7,60.19,12,100.95,12,65.85,17,68.28,9,51.6,12,62.94,22,106.13,15,103.59,19,123.41,22,174.45,16,213.06,19,195.64,17,224.07,27,292.58,24,416.56,43,686.78,47,114.94,8,131.22,32,124.13,44,148.77,59,152.74,34,211.25,20,184.93,10
