"geo_id","1988_price_sqft","1988_count","1989_price_sqft","1989_count","1990_price_sqft","1990_count","1991_price_sqft","1991_count","1992_price_sqft","1992_count","1993_price_sqft","1993_count","1994_price_sqft","1994_count","1995_price_sqft","1995_count","1996_price_sqft","1996_count","1997_price_sqft","1997_count","1998_price_sqft","1998_count","1999_price_sqft","1999_count","2000_price_sqft","2000_count","2001_price_sqft","2001_count","2002_price_sqft","2002_count","2003_price_sqft","2003_count","2004_price_sqft","2004_count","2005_price_sqft","2005_count","2006_price_sqft","2006_count","2007_price_sqft","2007_count","2008_price_sqft","2008_count","2009_price_sqft","2009_count","2010_price_sqft","2010_count","2011_price_sqft","2011_count","2012_price_sqft","2012_count","2013_price_sqft","2013_count","2014_price_sqft","2014_count"
"06001352202",271.19,2,311.75,2,"",0,215.63,1,253.39,2,262.76,3,294.97,1,"",0,318.35,1,"",0,187.88,2,49.31,3,422.15,1,411.49,2,438.61,1,"",0,"",0,"",0,554.78,2,623.77,1,"",0,"",0,383.02,1,"",0,503.01,2,350.63,1,478.96,2
"06001353001","",0,282.65,1,376.55,1,318.24,2,"",0,376.14,1,24.68,1,"",0,98.85,1,40.8,1,313.76,2,223.08,1,387.4,3,"",0,"",0,"",0,432.8,2,"",0,536.32,2,124.02,1,400.24,1,"",0,354.07,1,267.07,2,"",0,"",0,457.9,1
"06001354001","",0,46.89,1,61.87,2,245.68,1,"",0,183.13,1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,143.17,3,"",0,268.76,1,"",0,"",0,"",0,"",0,"",0,692.78,1,"",0,176.47,1,"",0,"",0
"06001400100",153.57,54,193.1,60,278.95,44,215.46,39,77.63,48,61.34,43,70.05,70,100.32,54,154.27,99,57.74,101,261.52,97,296.67,98,324.03,77,406.21,46,417.21,58,442.67,83,456.07,64,503.71,54,543.07,42,464.05,39,432.71,42,426.7,23,394.98,39,367.4,28,391.39,48,401.17,42,437.36,19
"06001400200",304.19,21,337.0,16,384.68,13,331.27,24,272.55,16,274.18,21,268.0,14,285.57,23,278.11,22,309.75,25,338.63,33,368.2,23,482.69,23,512.59,24,523.97,24,589.82,14,522.66,31,661.1,20,635.58,20,661.84,16,586.02,17,623.92,11,508.34,19,552.45,9,514.77,13,587.03,14,560.9,5
"06001400300",300.15,58,337.72,44,331.84,43,305.94,59,272.5,41,289.41,43,271.92,46,238.09,43,246.43,48,284.47,98,286.15,63,335.24,37,426.74,55,492.86,51,514.96,44,572.4,50,625.89,49,684.29,50,647.1,49,683.87,35,620.58,32,589.74,25,604.77,43,499.16,39,536.25,45,587.71,55,723.69,15
"06001400400",249.07,43,271.0,50,310.75,26,287.94,29,287.85,26,259.13,30,278.0,43,235.92,16,207.56,30,247.48,36,277.64,37,315.55,31,444.39,39,488.12,32,504.86,25,512.2,28,614.78,39,603.91,40,670.83,28,634.74,39,562.91,18,551.59,22,507.76,31,518.3,25,491.15,27,650.68,36,738.6,11
"06001400500",192.95,21,251.98,29,202.93,20,229.64,17,214.72,19,210.33,22,192.26,15,167.53,25,176.62,21,154.04,23,186.44,37,239.38,26,352.87,26,313.85,22,365.76,22,406.59,34,481.71,26,559.8,30,522.92,23,588.76,18,399.36,21,358.45,22,277.68,12,312.65,23,335.42,30,518.79,23,428.95,11
"06001400600",191.37,21,173.57,6,184.05,12,220.99,11,198.89,6,132.33,5,160.31,18,111.71,6,171.49,20,124.55,12,166.67,22,213.56,24,260.96,25,270.77,21,381.47,12,379.98,18,481.53,17,524.74,18,473.8,24,471.47,18,318.91,14,307.72,19,278.46,22,328.03,20,338.08,14,449.15,16,385.3,9
"06001400700",152.17,28,178.02,26,192.85,17,173.03,31,154.48,22,134.37,22,122.22,37,109.79,23,95.85,22,119.33,38,140.95,37,171.51,45,191.28,42,270.36,37,320.4,48,330.79,55,342.31,46,430.79,49,485.9,44,411.41,36,268.48,37,227.64,58,285.41,45,230.28,57,266.5,53,385.18,51,409.47,25
"06001400800",153.48,27,174.55,17,163.26,19,147.63,21,164.71,11,167.75,6,126.91,20,121.4,18,123.15,24,124.77,19,139.5,27,169.78,32,246.39,28,338.68,21,352.59,28,330.9,23,466.14,34,488.23,27,471.95,28,383.61,22,336.86,21,231.01,20,226.05,34,238.23,36,346.18,18,413.98,25,479.71,11
"06001400900",142.42,24,166.18,19,187.91,13,200.05,10,176.7,16,147.85,12,110.5,16,107.2,22,107.55,14,117.27,14,143.9,16,165.22,18,205.24,21,311.96,19,347.03,14,332.17,20,445.61,32,513.0,29,499.74,29,434.93,14,266.47,29,227.0,29,271.64,20,230.22,21,273.61,30,438.08,25,482.7,10
"06001401000",143.33,44,158.85,33,154.13,34,162.07,27,152.9,29,157.96,25,141.28,36,126.41,40,100.68,42,123.78,48,125.62,60,143.18,65,194.46,77,248.05,55,290.13,50,344.2,49,385.85,89,435.71,69,477.37,61,357.67,37,211.85,49,205.47,56,192.53,56,191.42,59,219.05,65,343.72,73,425.78,19
"06001401100",174.91,29,231.84,29,244.82,13,255.98,19,238.2,16,232.66,13,205.25,11,198.96,16,168.76,16,171.49,12,147.81,19,252.62,29,324.6,22,348.84,19,376.02,18,428.77,35,473.94,15,575.32,20,489.75,9,435.36,13,296.34,15,361.21,10,384.98,11,332.8,13,225.8,16,488.35,19,569.91,5
"06001401200",249.11,35,309.4,26,291.86,17,277.56,19,245.41,23,225.3,13,213.45,30,227.94,18,211.97,15,186.79,16,224.33,35,341.49,30,374.49,27,421.9,25,441.72,22,481.64,19,568.49,26,674.16,25,580.96,32,626.45,26,493.25,21,527.59,13,399.38,17,432.91,20,476.21,16,489.67,18,624.91,6
"06001401300",50.08,3,140.77,4,117.75,2,"",0,46.56,1,135.03,2,87.62,4,81.89,1,65.77,3,73.57,3,138.93,2,65.07,1,"",0,165.23,1,215.89,2,323.62,2,244.1,5,328.65,1,"",0,242.75,1,"",0,"",0,121.47,5,222.26,3,151.11,4,"",0,"",0
"06001401400",110.99,16,104.94,26,115.66,15,118.38,11,104.13,7,92.27,16,64.47,17,79.43,14,66.94,14,66.13,16,82.78,21,109.68,24,134.37,42,164.02,29,247.5,35,218.58,29,312.27,35,396.7,46,432.42,30,340.33,33,154.33,25,109.86,40,127.34,30,86.1,23,136.91,31,185.11,26,278.01,9
"06001401500",84.19,7,107.96,14,76.42,7,103.27,6,84.51,9,119.32,12,92.62,7,71.54,9,59.51,21,70.69,14,84.66,23,73.26,14,168.97,15,178.17,9,202.73,16,288.17,19,324.66,23,400.8,29,418.02,25,404.58,13,145.19,19,134.11,18,125.68,23,115.94,21,131.54,14,218.52,22,254.88,7
"06001401600",77.14,9,131.33,16,129.26,10,95.49,14,118.69,8,81.8,8,54.75,11,53.21,4,49.84,6,73.58,7,78.65,3,103.09,8,130.96,12,145.49,17,288.83,12,239.6,15,322.05,16,437.45,22,408.5,15,333.56,17,131.58,14,109.9,29,126.96,16,119.24,15,113.71,9,206.81,7,146.22,5
"06001401700",48.66,10,104.0,11,113.15,10,107.15,20,121.62,16,80.94,11,73.99,5,62.52,4,42.57,11,38.73,11,84.31,20,101.91,20,116.18,25,201.5,19,269.04,17,255.22,19,248.18,19,385.31,23,427.94,16,290.7,11,195.73,15,112.8,24,102.83,17,98.27,21,148.26,11,269.43,9,256.97,7
"06001401800",58.74,7,57.91,4,107.77,6,98.44,7,110.31,4,112.7,5,37.9,5,64.05,8,42.72,6,79.39,7,85.42,12,115.89,7,128.46,19,236.86,22,284.52,12,238.42,15,260.8,19,336.52,20,379.34,19,357.05,5,148.43,12,104.44,20,121.18,18,134.49,14,142.63,9,215.19,21,194.47,4
"06001402200",96.91,15,84.77,16,128.32,10,92.39,10,108.8,21,106.56,7,68.06,5,67.17,11,62.89,14,69.08,18,76.79,14,89.38,15,109.87,13,212.46,13,184.19,17,257.59,16,298.89,24,352.67,15,389.01,19,399.63,11,114.67,5,95.69,15,114.58,15,117.07,18,127.02,14,207.44,15,172.16,2
"06001402400",109.09,7,89.34,9,142.41,5,152.51,5,78.49,6,55.74,3,59.77,7,91.75,9,133.62,6,80.41,6,106.13,8,113.35,9,194.69,6,194.95,12,269.24,7,295.27,12,295.13,10,415.47,16,408.01,9,345.53,4,172.5,7,107.51,16,101.34,5,104.15,5,131.31,7,230.5,7,284.87,8
"06001402500",90.34,3,"",0,133.35,1,"",0,"",0,"",0,"",0,"",0,110.25,1,9.98,1,"",0,169.27,9,166.16,50,248.56,1,"",0,231.85,2,324.55,7,381.25,3,275.8,7,219.33,3,155.26,4,142.27,4,160.87,5,155.76,3,178.51,3,207.03,3,104.55,1
"06001402600","",0,284.72,1,111.14,1,"",0,"",0,120.92,1,"",0,"",0,"",0,163.99,1,"",0,"",0,310.07,2,"",0,253.96,1,231.59,2,351.12,1,537.27,1,358.87,1,"",0,"",0,159.79,2,"",0,"",0,"",0,"",0,"",0
"06001402700",128.02,8,164.64,7,142.61,8,"",0,148.06,2,134.59,4,38.52,1,94.58,4,132.2,6,"",0,95.72,2,110.45,9,168.02,9,243.15,3,192.86,7,303.36,6,389.02,6,441.81,17,456.58,5,274.6,9,168.73,5,101.21,11,118.4,8,69.6,5,144.97,7,151.59,8,116.56,1
"06001402800",77.61,1,"",0,"",0,100.71,1,"",0,159.01,1,"",0,129.38,1,100.85,1,"",0,67.22,1,173.94,1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,102.81,1,"",0,"",0,"",0,"",0,"",0
"06001403000","",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,202.54,1,"",0,"",0,"",0
"06001403100","",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,108.8,1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"06001403300",200.75,3,160.37,1,267.84,1,"",0,"",0,171.14,3,235.95,1,"",0,267.73,1,"",0,"",0,"",0,278.64,3,287.65,2,358.28,2,434.46,1,564.57,4,"",0,299.73,2,214.24,1,"",0,"",0,"",0,161.72,2,235.74,2,247.94,1,412.74,2
"06001403400","",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,166.02,1,"",0,"",0,233.47,1,"",0,407.86,1,"",0,"",0,"",0,"",0,"",0,"",0
"06001403501",178.75,8,229.16,10,175.85,5,194.56,10,175.15,7,190.85,3,151.46,4,155.13,7,84.18,5,151.05,12,166.24,16,198.59,14,250.52,9,271.9,10,293.49,5,326.87,12,400.28,12,448.84,11,498.51,8,518.1,3,358.72,3,490.91,6,296.54,7,228.45,9,256.32,6,398.11,10,480.33,1
"06001403502",236.96,4,248.3,3,195.58,5,263.32,4,271.34,2,"",0,"",0,77.08,5,"",0,170.89,6,153.42,3,169.97,12,180.61,2,285.38,5,386.15,2,392.26,6,432.61,4,350.28,7,406.38,3,388.59,2,351.12,3,270.66,4,251.15,3,197.66,5,290.27,2,313.24,1,467.47,1
"06001403600",192.67,9,201.07,11,285.89,4,116.03,5,116.15,5,221.81,2,200.04,7,136.41,8,99.0,8,143.18,7,176.59,10,210.15,12,327.35,7,366.25,4,343.41,3,352.77,10,425.42,6,455.73,10,497.51,8,454.44,5,331.15,2,291.85,3,343.78,4,229.99,8,287.46,6,419.19,7,403.18,5
"06001403701","",0,215.67,3,166.87,1,183.14,1,"",0,"",0,103.34,1,"",0,97.16,2,161.43,3,"",0,"",0,224.69,1,"",0,"",0,"",0,252.74,1,"",0,361.76,1,"",0,421.13,1,"",0,"",0,229.45,1,"",0,"",0,"",0
"06001403702",68.79,1,173.13,2,"",0,86.7,1,"",0,168.54,2,146.55,2,"",0,"",0,"",0,150.24,2,212.04,2,257.57,2,"",0,324.45,2,"",0,399.42,2,375.09,1,411.76,1,164.18,1,"",0,269.28,1,228.07,2,"",0,170.34,1,220.03,1,"",0
"06001403800",246.08,23,298.66,22,302.01,17,260.21,32,254.21,23,251.67,18,220.78,20,217.85,18,214.94,28,223.74,48,250.06,31,286.6,27,384.82,18,405.06,20,419.16,22,477.21,22,525.0,25,534.89,9,525.04,15,514.52,21,387.76,14,437.1,12,428.38,19,412.99,13,402.33,30,443.67,24,476.7,9
"06001403900",250.12,28,224.96,18,273.2,21,274.4,16,215.83,23,207.25,18,201.25,13,179.42,10,193.48,17,168.8,15,240.13,23,281.54,26,319.83,11,409.94,13,341.24,17,444.83,21,453.7,20,508.61,17,506.49,16,451.69,13,367.0,14,406.78,6,376.22,13,304.11,14,256.23,15,419.6,23,428.52,8
"06001404000",204.95,15,332.76,9,313.77,9,274.68,10,331.59,3,241.1,6,221.74,11,263.47,6,269.53,5,208.41,14,286.1,3,257.28,14,357.55,9,368.13,12,469.86,6,384.19,8,415.58,11,591.82,9,551.63,5,615.38,6,536.76,10,281.84,5,554.24,5,523.56,4,314.0,5,426.68,7,948.62,1
"06001404101",270.69,32,348.37,22,353.63,21,284.84,23,279.93,21,239.71,20,248.96,18,256.2,19,222.54,18,233.03,24,258.85,22,353.09,27,393.73,25,433.82,18,429.19,25,447.01,23,552.79,26,618.7,26,620.81,27,653.41,17,455.38,11,560.6,12,527.01,13,449.97,16,476.71,15,550.15,13,431.58,3
"06001404102",296.5,7,374.54,4,325.68,5,260.72,6,299.6,2,287.47,6,247.8,7,285.1,3,237.53,2,230.23,3,287.83,10,270.83,10,412.87,3,559.09,2,536.79,5,595.28,7,673.28,4,706.17,4,629.29,4,497.78,5,488.11,4,578.81,7,509.9,4,527.15,8,846.12,2,447.37,3,"",0
"06001404200",301.37,51,339.82,60,299.42,41,297.57,46,188.16,71,273.23,60,238.51,60,246.92,72,238.5,83,285.98,77,311.39,98,341.29,72,461.78,68,411.08,53,510.1,58,480.69,59,548.55,64,607.12,49,537.63,36,539.92,46,544.18,30,440.63,38,494.23,38,400.39,41,426.95,55,494.74,56,568.64,16
"06001404300",262.61,57,318.45,54,307.24,37,287.4,45,111.39,82,80.71,68,237.42,70,235.61,87,228.25,96,268.82,79,315.28,69,339.87,66,428.87,68,460.59,47,491.07,62,482.11,61,535.77,72,571.49,53,523.91,41,577.72,60,533.35,39,458.31,41,488.25,28,412.29,37,483.49,37,503.32,48,531.33,18
"06001404400",249.6,100,245.97,79,246.82,79,274.02,77,174.52,110,217.59,90,234.44,102,200.27,114,216.66,131,262.45,150,280.69,147,314.89,152,379.68,122,397.59,92,415.17,132,433.71,109,492.56,122,553.79,118,525.74,90,501.89,80,449.37,64,448.74,63,383.52,69,347.86,62,370.03,88,409.28,82,380.06,33
"06001404501",287.07,23,346.05,30,328.57,26,308.95,27,334.85,41,309.99,30,275.21,32,232.61,21,239.46,35,260.58,35,262.26,45,304.7,28,401.58,31,397.09,32,451.04,34,517.0,21,499.64,40,572.77,31,537.15,19,560.41,25,514.7,20,484.01,19,406.1,15,441.26,24,386.94,22,438.21,29,506.02,11
"06001404502",292.55,135,292.0,105,317.62,94,296.55,96,284.77,102,259.23,93,261.1,110,241.34,86,252.24,102,252.43,153,269.7,163,296.33,173,361.69,140,381.71,132,410.41,126,431.05,136,516.39,153,548.34,130,520.0,93,483.43,88,457.82,80,391.24,62,393.64,64,364.69,79,339.05,110,426.05,113,460.85,36
"06001404600",265.64,105,322.1,94,301.79,87,280.52,98,273.03,93,263.21,99,251.6,92,248.33,63,244.03,88,240.59,136,264.87,117,311.16,118,361.57,113,364.92,87,418.67,95,413.35,95,469.09,119,485.18,90,488.67,82,467.85,58,445.38,48,377.23,45,373.08,49,345.59,61,339.52,77,396.0,83,436.88,30
"06001404700",295.59,39,363.97,32,307.15,30,276.39,40,270.04,40,260.4,44,247.89,46,235.24,42,231.84,38,246.12,44,275.85,60,324.1,49,446.51,36,424.87,38,436.65,36,430.86,42,529.77,52,521.58,43,538.07,32,491.8,19,440.29,27,410.19,29,416.91,23,353.42,32,378.18,41,447.36,50,483.06,20
"06001404800",272.99,36,363.25,28,338.05,29,310.93,29,311.94,27,265.37,33,223.52,42,219.83,23,234.9,36,238.66,41,257.72,55,305.78,44,377.59,35,378.56,18,478.43,33,459.37,35,554.02,39,628.42,36,555.97,38,515.38,23,451.01,16,522.79,14,419.97,19,311.11,27,363.49,31,509.88,20,496.92,13
"06001404900",267.03,91,322.76,50,303.33,57,293.9,58,276.04,64,255.29,43,245.53,53,210.0,31,222.35,56,228.92,63,251.79,90,300.11,58,379.9,67,413.89,46,464.65,44,460.99,51,518.88,79,576.01,48,544.21,46,553.92,45,510.95,42,438.05,28,410.64,33,349.44,35,426.2,49,444.9,61,510.91,22
"06001405000",268.31,55,341.85,46,324.82,38,266.57,48,295.26,39,232.11,33,243.65,40,225.23,30,228.27,47,234.92,62,246.15,71,298.46,58,401.45,50,408.54,45,447.99,55,467.13,43,535.53,60,612.36,35,525.17,39,575.91,39,483.16,29,423.32,26,385.94,24,384.49,34,391.71,49,481.75,53,515.01,17
"06001405100",281.18,98,327.82,72,297.13,66,301.01,72,301.74,75,272.45,74,265.76,59,237.32,64,242.13,59,259.65,63,285.86,93,335.39,84,441.74,87,411.89,73,459.94,92,483.47,76,500.88,58,578.76,90,581.12,60,534.64,67,511.9,56,452.93,53,439.52,51,392.85,47,418.7,65,488.59,72,540.45,21
