"geo_id","1988_price_sqft","1988_count","1989_price_sqft","1989_count","1990_price_sqft","1990_count","1991_price_sqft","1991_count","1992_price_sqft","1992_count","1993_price_sqft","1993_count","1994_price_sqft","1994_count","1995_price_sqft","1995_count","1996_price_sqft","1996_count","1997_price_sqft","1997_count","1998_price_sqft","1998_count","1999_price_sqft","1999_count","2000_price_sqft","2000_count","2001_price_sqft","2001_count","2002_price_sqft","2002_count","2003_price_sqft","2003_count","2004_price_sqft","2004_count","2005_price_sqft","2005_count","2006_price_sqft","2006_count","2007_price_sqft","2007_count","2008_price_sqft","2008_count","2009_price_sqft","2009_count","2010_price_sqft","2010_count","2011_price_sqft","2011_count","2012_price_sqft","2012_count","2013_price_sqft","2013_count","2014_price_sqft","2014_count"
"06001352202",271.19,2,463.72,1,"",0,215.63,1,197.75,1,265.0,2,294.97,1,"",0,318.35,1,"",0,187.88,2,47.85,2,"",0,411.49,2,438.61,1,"",0,"",0,"",0,554.78,2,623.77,1,"",0,"",0,383.02,1,"",0,503.01,2,350.63,1,478.96,2
"06001353001","",0,282.65,1,376.55,1,318.24,2,"",0,376.14,1,24.68,1,"",0,98.85,1,"",0,313.76,2,223.08,1,387.4,1,"",0,"",0,"",0,432.8,2,"",0,536.32,2,"",0,446.53,3,"",0,354.07,1,267.07,2,"",0,235.73,1,457.9,1
"06001354001","",0,46.89,1,61.87,2,245.68,1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,115.38,1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,692.78,1,"",0,176.47,1,"",0,"",0
"06001400100",257.69,75,297.25,64,281.19,67,256.93,51,75.61,90,76.62,71,150.98,114,218.21,82,225.11,122,120.19,131,276.65,127,319.29,123,390.34,91,447.85,60,451.37,74,463.62,91,509.42,74,548.56,79,547.39,55,501.75,51,452.83,62,425.83,36,414.46,47,374.05,42,385.68,67,416.6,56,437.36,27
"06001400200",305.43,22,332.76,17,384.68,15,333.13,25,266.57,17,310.27,23,268.48,15,294.61,25,281.47,24,305.74,29,352.53,34,393.23,23,515.91,25,522.25,26,550.32,27,574.74,18,608.74,33,664.56,25,575.38,21,703.33,18,605.54,18,603.03,12,488.4,21,519.36,10,514.77,15,576.08,16,577.34,6
"06001400300",289.06,68,340.56,54,346.41,45,314.21,65,268.94,47,302.86,47,263.3,59,234.0,44,246.01,55,285.35,106,275.57,79,304.19,50,426.26,62,496.15,54,511.35,51,570.35,59,569.86,65,674.27,58,648.89,58,660.08,49,611.57,43,540.18,31,550.22,51,475.01,50,502.35,60,585.38,62,681.09,23
"06001400400",249.07,51,270.86,58,288.08,39,277.09,30,273.35,39,245.45,34,272.07,52,221.81,25,201.66,38,250.69,48,268.54,45,274.43,46,432.69,54,413.02,45,479.94,35,490.12,45,592.1,45,590.17,53,630.53,31,618.22,60,461.89,26,501.99,35,482.63,40,447.98,40,465.32,41,626.49,51,577.49,19
"06001400500",186.49,35,234.42,40,200.55,31,201.46,22,188.99,25,197.0,27,167.33,21,158.78,33,162.36,26,133.01,33,158.68,49,234.78,35,283.98,41,269.28,32,358.23,25,399.1,48,454.54,38,505.56,41,517.91,52,539.47,37,399.32,32,300.3,36,278.76,25,278.66,32,260.0,49,355.81,45,415.5,16
"06001400600",196.79,23,173.57,8,144.31,20,200.95,14,168.89,8,164.24,7,159.12,27,128.67,7,165.45,25,118.49,14,129.57,30,193.95,32,265.22,30,228.15,30,361.99,16,363.24,24,460.25,22,431.91,26,511.33,38,431.8,22,267.32,18,275.33,25,278.1,30,287.33,24,292.5,23,412.61,21,373.02,12
"06001400700",143.85,35,152.2,35,162.39,27,165.78,38,146.86,22,112.65,30,115.71,39,95.24,34,100.86,28,111.8,44,140.95,45,170.17,52,174.74,64,259.88,54,279.34,64,280.63,73,328.35,66,421.79,69,443.35,58,398.27,54,257.79,50,206.83,84,266.36,55,203.86,80,252.25,80,355.49,68,347.28,37
