"geo_id",1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"06001400200",1,1,0,1,0,2,0,2,0,0,0,1,1,0,0,1,2,0,0,1,0,1,1,0,0,0,0
"06001400300",4,2,4,1,2,2,1,14,1,0,6,2,2,0,1,3,0,5,1,3,3,0,3,1,4,2,4
"06001400400",1,1,1,1,1,1,2,0,2,0,1,0,3,2,3,0,1,2,2,4,1,0,0,2,2,0,0
"06001400500",4,1,5,0,1,3,1,1,0,1,1,3,6,6,1,2,4,1,2,2,1,2,2,3,0,0,1
"06001400600",0,0,0,0,0,0,0,0,4,0,1,1,1,1,0,1,3,4,1,2,1,0,0,0,0,1,1
"06001400700",1,1,2,1,1,2,3,2,0,0,3,2,1,2,2,0,0,1,2,2,0,1,0,3,2,0,4
"06001400800",3,1,1,2,1,1,1,3,2,3,3,0,6,1,1,2,4,4,2,3,0,2,1,2,0,3,1
"06001400900",2,0,3,1,0,0,0,0,0,2,0,1,3,1,2,4,1,3,0,0,0,1,0,1,0,1,0
"06001401000",6,5,8,3,5,4,8,4,2,6,4,3,9,5,4,3,4,9,3,2,2,2,2,1,3,3,2
"06001401100",4,5,4,5,1,1,5,2,4,6,5,10,7,9,2,6,9,8,2,4,1,1,3,2,5,4,0
"06001401200",2,0,3,1,1,1,1,0,2,2,1,0,4,0,3,3,2,2,0,5,1,2,3,0,2,3,0
"06001401300",11,7,4,4,7,8,5,14,8,14,8,21,12,15,19,11,15,11,7,4,8,5,2,6,9,13,5
"06001401400",3,2,2,1,2,0,6,5,6,2,3,15,6,2,2,3,3,11,1,2,2,2,3,1,2,1,4
"06001401500",0,1,3,1,2,1,2,1,1,2,1,1,3,2,1,3,2,4,1,0,0,4,0,1,0,1,1
"06001401600",2,3,3,7,1,2,2,2,0,2,2,3,3,1,3,5,5,5,4,2,0,4,2,2,3,1,0
"06001401700",0,0,0,0,1,0,0,2,0,0,0,1,5,3,0,1,1,0,0,0,0,0,0,1,0,0,2
"06001401800",0,1,0,0,1,0,1,3,1,2,2,1,1,0,0,1,2,1,1,1,0,1,0,1,1,0,0
"06001402200",1,3,5,2,1,1,1,2,5,0,1,1,2,1,0,2,1,2,3,0,0,0,0,3,2,2,0
"06001402400",0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2,0
"06001402500",1,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,3,0,0,0,0,0,0,1,0
"06001402600",0,0,0,0,1,0,0,16,0,0,0,0,1,0,0,0,0,16,1,0,0,0,0,0,0,1,0
"06001402700",0,1,2,2,0,0,0,0,1,2,2,6,4,3,0,2,2,1,0,1,0,0,1,1,2,1,1
"06001402800",7,5,1,4,1,5,7,9,7,4,4,17,16,6,5,6,8,12,6,11,3,9,8,5,20,5,8
"06001402900",5,10,4,2,2,6,5,5,5,8,16,14,19,8,8,16,6,15,7,6,6,1,5,6,12,5,7
"06001403000",5,24,9,14,9,10,4,5,11,6,11,10,14,11,2,7,52,6,7,3,8,1,10,8,15,17,11
"06001403100",2,1,1,5,0,1,0,13,11,8,5,5,2,1,13,3,1,3,0,7,4,0,2,5,4,13,0
"06001403300",5,4,2,0,0,5,2,5,5,8,1,17,8,2,2,3,9,22,6,5,2,4,4,5,3,5,2
"06001403400",0,0,2,0,0,1,1,3,2,2,0,0,1,2,5,1,1,0,1,0,1,0,1,1,0,1,0
"06001403501",7,3,3,1,1,1,2,3,1,3,3,11,4,3,2,10,4,4,3,2,2,0,0,4,3,4,1
