"geo_id","med_sqft","count1","med_sqft_2014_sales","count2"
"06001005206",0.0,1,"",0
"06001352202",2221.5,28,2253.0,3
"06001353001",2900.0,21,2957.0,1
"06001354001",4382.0,5,"",0
"06001355112",0.0,1,"",0
"06001400100",2516.0,1379,2285.5,22
"06001400200",1953.0,622,1744.5,6
"06001400300",1500.0,1468,1269.0,18
"06001400400",1669.5,1112,1738.0,11
"06001400500",1369.5,946,1320.0,14
"06001400600",1554.0,443,1687.0,7
"06001400700",1438.0,1129,1278.0,35
"06001400800",1246.0,1091,1170.0,23
"06001400900",1384.0,665,1602.0,14
"06001401000",1340.0,1405,1106.5,26
"06001401100",1652.0,797,1851.0,24
"06001401200",1348.0,711,1324.0,7
"06001401300",1312.0,453,1592.0,13
"06001401400",1853.0,727,1880.0,21
"06001401500",1350.0,677,1709.0,17
"06001401600",1524.0,357,1678.5,8
"06001401700",1135.0,974,1153.0,19
"06001401800",1609.5,346,1474.0,10
"06001402200",1505.5,554,1626.0,11
"06001402400",1932.0,398,1780.0,7
"06001402500",1520.0,160,2360.0,2
"06001402600",1969.5,96,800.0,3
"06001402700",2058.0,304,1081.0,1
"06001402800",1100.0,193,1103.5,4
"06001402900",25662.0,13,"",0
"06001403000",848.0,973,813.0,12
"06001403100",906.0,358,906.0,3
"06001403300",1062.0,1014,1129.5,36
"06001403400",1076.0,693,1061.0,9
"06001403501",1363.0,590,706.0,5
"06001403502",971.0,525,911.0,9
"06001403600",1179.5,688,2039.0,18
"06001403701",1003.0,431,1148.5,10
"06001403702",1243.0,389,1160.0,9
"06001403800",1960.0,977,2157.0,13
"06001403900",1150.0,1083,620.0,52
"06001404000",1028.0,855,1073.5,12
"06001404101",1250.5,950,935.5,20
"06001404102",1236.0,391,835.0,15
"06001404200",1958.0,1304,2312.5,8
"06001404300",2412.0,1289,2578.0,15
"06001404400",1719.0,2316,1629.0,41
"06001404501",2278.0,693,1964.0,10
"06001404502",1859.5,2362,1690.0,34
"06001404600",2060.0,1833,2132.0,21
"06001404700",1927.0,807,2237.0,17
"06001404800",1501.0,767,1594.5,16
"06001404900",1444.0,1406,1514.0,21
"06001405000",1692.5,1124,1601.5,16
"06001405100",2169.5,1624,2082.0,17
"06001405200",1987.5,1028,2231.0,12
"06001405301",2237.0,301,2166.5,4
"06001405302",2660.0,222,"",0
"06001405401",2003.0,399,1576.0,3
"06001405402",2100.0,315,1579.0,4
"06001405500",1555.0,714,1381.5,8
"06001405600",1771.0,589,1369.0,3
"06001405700",1329.0,630,1358.5,8
"06001405800",1333.0,811,1212.0,11
"06001405901",1457.0,539,1579.5,10
"06001405902",1399.0,527,1260.0,6
"06001406000",1249.5,424,1599.5,4
"06001406100",1247.0,777,1027.0,17
"06001406201",1521.0,558,3451.0,6
"06001406202",1451.5,386,1603.5,4
"06001406300",1405.0,725,1541.0,10
"06001406400",1377.0,476,1098.0,5
"06001406500",1309.5,1008,1323.0,17
"06001406601",1162.0,1090,1210.5,26
"06001406602",1299.0,441,1266.0,12
"06001406700",1329.0,1874,1383.0,43
"06001406800",1423.0,1213,1450.5,16
"06001406900",1412.0,1111,1480.0,15
"06001407000",1100.5,1266,1077.0,21
"06001407101",1246.0,537,1342.0,13
"06001407102",1230.5,970,1224.0,9
"06001407200",1293.5,846,1996.5,8
"06001407300",1024.5,408,1137.0,3
"06001407400",1237.0,629,1400.0,13
"06001407500",1191.0,649,1302.0,15
"06001407600",1284.0,1425,1316.5,30
"06001407700",1264.0,1638,1216.0,40
"06001407800",1307.0,636,1211.0,7
"06001407900",1318.0,1027,1311.0,15
"06001408000",1879.5,960,1725.0,12
"06001408100",1962.0,2715,1929.5,56
"06001408200",1316.0,1161,1394.0,24
"06001408300",1255.0,1519,1166.0,23
"06001408400",1080.0,887,1046.0,22
"06001408500",1142.0,1216,1088.0,38
"06001408600",1114.5,1354,1076.0,27
"06001408700",1182.0,1657,1133.5,24
"06001408800",1005.0,835,1152.0,19
"06001408900",1071.5,594,1132.5,14
"06001409000",1013.0,905,975.5,16
"06001409100",993.0,615,1014.0,11
"06001409200",1100.0,775,1118.0,15
"06001409300",1153.0,1088,1099.0,25
"06001409400",1234.0,970,1338.5,14
"06001409500",1085.0,647,1191.5,12
"06001409600",1194.0,1045,1109.0,23
"06001409700",1177.0,987,1232.0,21
"06001409800",1543.0,963,1489.0,23
"06001409900",1851.0,1383,2346.5,20
"06001410000",1858.5,1138,2076.0,18
"06001410100",1212.0,809,1214.0,19
"06001410200",1110.0,819,1452.0,14
"06001410300",1167.0,665,1190.0,13
"06001410400",1148.0,1113,1150.0,23
"06001410500",1886.0,184,3064.5,4
"06001420100",1344.0,776,1712.0,3
"06001420200",1160.0,804,986.0,14
"06001420300",1170.0,1737,1113.0,33
"06001420500",1183.0,685,878.0,5
"06001420600",1336.5,1162,1323.0,13
"06001421100",1891.5,832,1961.0,12
"06001421200",2175.0,1429,2134.0,12
"06001421300",1575.0,1577,1665.0,16
"06001421400",2000.5,610,2105.0,7
"06001421500",1870.0,1504,2244.0,19
"06001421600",1917.0,1451,2349.0,19
"06001421700",1735.5,808,1757.0,6
"06001421800",1409.0,723,1361.0,6
"06001421900",1229.0,1372,1116.0,13
"06001422000",1260.0,413,1099.0,10
"06001422100",1206.5,724,1218.0,13
"06001422200",1263.5,912,1762.5,14
"06001422300",1406.0,858,1137.5,8
"06001422400",2187.0,505,2286.0,5
"06001422500",2068.0,579,2181.0,4
"06001422600",2397.0,15,2331.0,1
"06001422700",2329.0,239,1055.0,6
"06001422800",3782.0,148,4321.5,2
"06001422900",3066.0,147,"",0
"06001423000",1454.0,1094,1712.0,9
"06001423100",1185.0,999,1268.5,14
"06001423200",1436.0,541,1659.0,4
"06001423300",1206.0,1065,1422.0,19
"06001423400",1478.0,1103,1403.0,20
"06001423500",1708.5,582,3057.5,4
"06001423601",1966.0,687,1131.5,4
"06001423602",1888.0,645,9350.0,3
"06001423700",2499.5,712,2837.0,11
"06001423800",2409.0,1127,2012.0,8
"06001423901",1623.5,460,929.0,2
"06001423902",1858.0,415,2109.0,2
"06001424001",1830.0,643,2224.0,9
"06001424002",1214.5,556,1489.0,7
"06001425101",666.0,1255,636.0,25
"06001425102",768.0,1131,743.0,42
"06001425103",1183.0,730,1226.0,14
"06001425104",1154.0,949,1094.0,11
"06001426100",2802.5,2174,3540.5,36
"06001426200",2033.5,1628,2048.0,23
"06001427100",1660.0,1241,1487.0,15
"06001427200",1502.0,907,1208.5,14
"06001427300",1455.5,1232,1824.0,9
"06001427600",1590.0,264,645.0,5
"06001427700",1565.0,1074,2080.0,14
"06001427800",1790.5,1124,1438.0,15
"06001427900",2066.0,1055,1176.0,7
"06001428000",2052.5,392,1309.0,5
"06001428100",1666.0,1275,1553.0,18
"06001428200",1440.0,1959,1393.0,24
"06001428301",1584.0,2558,1371.0,25
"06001428302",2044.0,2787,1894.5,32
"06001428400",1764.5,782,2838.0,10
"06001428500",1468.0,833,1335.0,13
"06001428600",1271.0,1099,1360.0,11
"06001428700",2361.0,590,2539.0,6
"06001430101",2102.0,2419,1666.0,24
