"geo_id","2004_blank","2004_A","2004_C","2004_I","2004_M","2004_R","2004_V","2005_blank","2005_A","2005_C","2005_I","2005_M","2005_R","2005_V","2006_blank","2006_A","2006_C","2006_I","2006_M","2006_R","2006_V","2007_blank","2007_A","2007_C","2007_I","2007_M","2007_R","2007_V","2008_blank","2008_A","2008_C","2008_I","2008_M","2008_R","2008_V","2009_blank","2009_A","2009_C","2009_I","2009_M","2009_R","2009_V","2010_blank","2010_A","2010_C","2010_I","2010_M","2010_R","2010_V","2011_blank","2011_A","2011_C","2011_I","2011_M","2011_R","2011_V","2012_blank","2012_A","2012_C","2012_I","2012_M","2012_R","2012_V","2013_blank","2013_A","2013_C","2013_I","2013_M","2013_R","2013_V","2014_blank","2014_A","2014_C","2014_I","2014_M","2014_R","2014_V"
"06001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001005206",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"06001005502",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"06001304002",1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"06001345115",2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"06001345203",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"06001352202",33,0,0,0,0,0,0,37,0,0,0,0,0,0,8,0,0,0,6,21,2,0,0,0,0,8,27,2,0,0,0,0,8,27,2,27,0,0,0,2,8,0,1,0,0,0,8,26,2,0,0,0,0,8,27,2,0,0,0,0,8,28,1,0,0,0,0,8,28,1,0,0,0,0,0,0,0
"06001353001",22,0,0,0,0,0,2,33,0,0,0,0,0,0,2,0,0,0,2,19,10,0,0,0,0,2,20,11,0,0,0,0,2,20,11,27,0,0,0,0,4,2,0,0,0,0,2,21,10,0,0,0,0,2,21,10,0,0,0,0,2,21,12,0,0,0,0,2,21,12,0,0,0,0,0,0,0
"06001354001",11,0,0,0,0,0,1,12,0,0,0,0,0,0,2,0,0,0,7,3,0,0,0,0,0,7,4,1,0,0,0,0,7,5,0,11,0,0,0,0,1,0,1,0,0,0,7,4,0,0,0,0,0,7,5,0,0,0,0,0,7,5,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0
"06001355112",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
