tract,imprv_pct,imprv_pct_stdev,count
010100,50.0,5.9,31
010200,50.0,10.0,56
010300,50.0,8.6,38
010400,50.0,9.0,57
010500,50.0,4.4,42
010600,50.0,8.5,11
010700,40.0,8.9,10
010800,40.0,9.9,22
010900,50.0,9.1,40
011000,50.0,6.9,52
011100,77.91,18.0,86
011200,50.0,11.2,36
011300,50.0,5.9,25
011700,50.0,4.7,28
011800,50.0,0.0,1
011901,50.0,6.8,45
011902,50.0,6.3,25
012000,50.0,9.7,12
012100,50.0,9.4,9
012201,50.0,8.1,21
012202,40.0,4.0,5
012301,40.0,0.0,2
012302,50.0,5.6,5
012401,40.0,6.2,7
012402,50.0,4.8,28
012501,40.0,7.0,6
012502,76.29,23.4,2
012601,40.0,13.6,28
012602,50.0,10.4,27
012700,40.0,8.4,29
012800,35.4,10.5,53
012901,46.42,12.5,16
012902,45.77,8.6,31
013000,50.0,11.3,49
013101,50.0,6.7,71
013102,50.0,10.2,30
013200,31.3,10.7,64
013300,40.0,9.1,59
013400,50.0,8.2,59
013500,40.0,9.4,33
015100,50.0,4.3,40
015200,44.1,10.4,47
015300,50.0,11.0,44
015400,50.0,11.7,86
015500,50.0,12.7,38
015600,44.47,11.3,22
015700,48.91,10.2,70
015801,50.0,12.6,32
015802,43.75,8.5,28
015900,50.0,6.7,20
016000,50.0,5.2,52
016100,0.0,21.6,32
016200,49.93,7.1,15
016300,40.0,13.3,26
016400,45.0,8.8,22
016500,50.0,11.5,51
016600,50.0,10.9,43
016700,50.0,10.2,55
016801,49.94,8.2,15
016802,50.0,7.0,25
016900,41.85,12.7,27
017000,50.0,12.0,69
017101,39.99,10.6,42
017102,30.0,9.4,34
017601,50.0,12.0,81
017700,50.0,6.8,22
017801,50.0,5.0,55
017802,40.0,7.7,77
018000,91.39,24.4,180
020100,40.29,17.7,57
020200,49.81,10.4,30
020300,50.0,9.4,33
020401,37.3,10.6,59
020402,40.0,13.0,54
020500,40.0,12.4,46
020600,30.0,8.2,59
020700,50.0,13.2,46
020800,46.62,10.6,34
020900,40.0,11.7,15
021000,41.23,8.6,32
021100,37.28,10.5,56
021200,35.0,9.9,38
021300,30.0,7.6,51
021400,39.65,12.1,41
021500,37.68,11.4,76
021600,36.5,11.5,97
021700,30.0,11.8,60
021800,30.0,11.9,42
022600,50.0,9.6,104
022702,91.29,25.6,56
022704,50.0,9.6,55
022801,50.0,9.0,49
022802,33.57,9.9,8
022803,40.0,14.4,19
022901,36.95,7.8,18
022902,39.99,10.2,15
022903,32.99,12.8,16
023001,30.0,13.2,26
023003,30.0,9.4,35
023102,41.85,13.1,23
023103,61.36,11.4,2
023200,30.0,10.8,49
023300,50.0,18.7,89
023400,39.99,13.4,29
025100,30.0,11.0,41
025200,30.0,9.5,52
025300,39.0,10.1,42
025401,30.0,12.0,30
025402,30.0,6.7,47
025403,40.0,12.2,44
025500,35.71,12.3,57
025600,31.11,7.6,32
025701,30.0,10.4,22
025702,35.0,10.4,22
025800,30.0,8.9,12
025900,30.0,8.8,47
026001,30.0,11.3,27
026002,30.0,11.0,22
026003,30.0,9.2,30
026004,30.0,8.5,33
026100,38.09,12.7,47
026200,38.31,12.7,50
026301,30.0,6.9,23
026302,30.0,9.5,39
026303,30.0,7.3,27
026401,30.0,5.9,23
026402,30.0,9.4,32
026403,30.0,5.4,13
026404,39.99,11.2,22
030101,40.0,8.8,29
030102,30.0,10.8,40
030201,40.0,12.5,22
030202,36.54,9.6,27
030301,32.69,14.9,58
030302,30.0,10.1,33
030400,30.0,9.0,50
030500,30.0,11.4,34
030600,30.0,11.6,24
030700,30.0,10.0,77
030800,30.0,7.6,69
030900,30.0,7.6,81
031000,30.0,7.4,34
031100,30.0,9.5,58
031201,33.35,15.7,28
031202,32.72,13.5,16
031301,33.5,12.6,34
031302,40.0,11.7,69
031400,39.99,11.6,63
032601,40.0,18.0,18
032602,30.0,8.5,19
032700,30.0,11.1,53
032801,30.0,11.8,28
032802,31.86,8.9,26
032901,30.0,8.7,20
032902,32.34,11.0,21
033000,30.0,7.5,47
033100,33.43,13.4,41
035100,30.0,9.3,35
035201,30.0,10.7,43
035202,34.78,9.4,23
035300,30.0,8.4,39
035400,30.0,8.8,35
040100,50.0,13.6,29
040200,50.0,13.8,41
042601,44.44,12.4,19
042602,39.99,10.6,20
042700,48.16,12.8,30
042800,30.0,9.3,37
045100,30.0,10.9,25
045200,39.99,9.3,41
047600,30.0,11.4,29
047701,30.0,12.7,25
047702,39.99,10.6,27
047801,30.0,5.3,20
047802,30.0,10.4,29
047901,30.0,10.3,67
047902,36.8,16.4,18
060100,30.0,0.0,2
060400,47.97,5.6,6
060502,30.0,3.1,9
060700,50.0,5.9,432
061000,40.0,10.6,36
061100,50.0,2.9,11
061200,35.0,15.8,26
061400,40.0,10.8,71
