tract,price_sqft_2004,count_2004,price_sqft_2014,count_2014,apprec
010100,651.0,47,977.0,13,0.50076804915514583
010200,648.0,59,1119.0,20,0.72685185185185186
010300,683.0,43,1118.0,11,0.63689604685212298
010400,656.0,68,958.0,21,0.46036585365853666
010500,561.0,43,926.0,25,0.65062388591800357
010600,571.0,19,625.0,11,0.094570928196147097
010700,373.0,13,234.0,9,-0.37265415549597858
010800,731.0,44,993.5,16,0.35909712722298215
010900,628.0,48,894.0,21,0.42356687898089174
011000,699.0,46,706.5,18,0.010729613733905685
011100,488.0,30,747.0,11,0.53073770491803285
011200,641.5,38,745.0,21,0.16134060795011695
011300,551.0,19,507.0,9,-0.079854809437386542
011700,727.0,51,1008.5,12,0.38720770288858319
011800,780.0,3,nan,0,nan
011901,644.0,50,858.0,15,0.33229813664596275
011902,506.0,31,830.0,8,0.64031620553359692
012000,455.5,6,1080.0,2,1.3710208562019757
012100,237.0,7,782.0,7,2.2995780590717301
012201,509.0,28,750.0,3,0.47347740667976423
012202,576.0,17,791.5,4,0.37413194444444442
012301,148.5,2,nan,0,nan
012302,nan,0,nan,0,nan
012401,205.0,1,420.0,1,1.0487804878048781
012402,173.0,1,1026.0,7,4.9306358381502893
012501,nan,0,1542.0,1,nan
012502,183.0,1,nan,0,nan
012601,740.5,26,1316.5,8,0.77785280216070229
012602,667.0,41,928.0,11,0.39130434782608692
012700,720.5,58,1118.0,21,0.55170020818875787
012800,720.0,63,1178.0,22,0.63611111111111107
012901,629.0,26,1099.5,16,0.74801271860095397
012902,702.5,30,882.0,11,0.25551601423487535
013000,670.0,75,994.0,19,0.48358208955223891
013101,537.0,63,827.0,6,0.54003724394785846
013102,663.5,54,962.0,13,0.4498869630746043
013200,741.0,68,1064.5,24,0.43657219973009442
013300,707.0,58,1015.5,36,0.43635077793493626
013400,624.0,63,960.0,29,0.53846153846153855
013500,575.5,32,837.0,9,0.45438748913987848
015100,588.0,68,790.5,14,0.34438775510204089
015200,597.0,66,873.0,24,0.46231155778894473
015300,565.0,36,918.0,12,0.62477876106194685
015400,536.0,68,795.0,21,0.48320895522388052
015500,545.0,21,743.0,13,0.36330275229357789
015600,490.5,28,726.5,12,0.48114169215086644
015700,559.0,63,824.0,27,0.47406082289803231
015801,471.0,59,600.0,15,0.27388535031847128
015802,376.5,34,434.0,9,0.15272244355909703
