mm_fips_muni_code,year,all_sales,and_arms_length,and_known_usecode,and_residential,and_single_family,and_known_tract,and_known_price_sqft,and_unique_doc_num
1,2007,52731,16307,16251,14848,10069,10069,9866,9793
1,2008,48861,16264,4928,4654,3518,3518,3397,3377
1,2009,52368,20819,19520,18699,13171,13171,12867,12786
1,2010,51321,19448,19417,17920,12594,12594,12493,12391
1,2011,51876,19342,19296,18152,12608,12608,12542,12413
1,2012,55355,21312,21193,20101,13971,13971,13894,13679
13,2007,46863,14579,14576,14032,10785,10785,10644,10600
13,2008,51606,18622,4862,4703,3942,3942,3781,3760
13,2009,52091,21964,21307,20660,17102,17102,16738,16654
13,2010,49801,19494,19389,18663,14899,14899,14756,14697
13,2011,48240,19527,0,0,0,0,0,0
13,2012,51616,20635,20478,18313,14371,14371,14264,14194
41,2007,11833,3312,3295,2996,2212,2212,2131,2080
41,2008,10189,2665,2590,2374,1682,1682,1646,1605
41,2009,11352,2888,13,8,5,5,5,5
41,2010,11366,2988,2988,2724,2006,2006,1982,1935
41,2011,11447,3106,3106,2916,2100,2100,2073,1998
41,2012,13968,4117,4117,3822,2742,2742,2716,2272
55,2007,6336,1488,1488,1270,917,917,575,569
55,2008,6221,1691,776,653,556,556,535,531
55,2009,6188,1745,1665,1561,1250,1250,1203,1195
55,2010,6502,1905,1904,1695,1262,1262,1243,1237
55,2011,6057,1866,1866,1707,1287,1287,1264,1258
55,2012,7330,2176,2176,1937,1437,1437,1416,1400
75,2007,27171,8920,8726,8026,2889,2889,2744,2724
75,2008,24329,7790,7678,7134,2533,2533,2423,2410
75,2009,26269,7078,6689,6398,2617,2617,2457,2443
75,2010,24176,7169,6968,6481,2593,2593,2573,2568
75,2011,24470,7314,7274,6795,2781,2781,2755,2740
75,2012,28969,8967,8784,8060,2996,2996,2961,2940
81,2007,26432,7859,7850,7304,5346,5346,5088,5065
81,2008,23223,6866,2245,2126,1725,1725,1628,1621
81,2009,23619,7481,7148,6791,5216,5216,4922,4905
81,2010,24155,7643,7627,7161,5481,5481,5359,5317
81,2011,24126,7790,0,0,0,0,0,0
81,2012,29115,8739,8651,8034,6183,6183,6098,6056
85,2007,59455,20894,20826,19017,11650,11650,10758,10703
85,2008,52503,17257,4910,4647,3455,3455,3332,3318
85,2009,57888,21573,20139,19353,13142,13142,12721,12676
85,2010,56739,20604,20552,19195,13216,13216,13005,12818
85,2011,57368,20514,20463,19115,12638,12638,12569,12463
85,2012,64803,22384,0,0,0,0,0,0
95,2007,18285,5025,5020,4621,4040,4040,3940,3907
95,2008,21209,6789,740,691,613,613,575,573
95,2009,22275,9249,8556,8295,7745,7745,7706,7670
95,2010,19843,8119,8100,7669,6685,6685,6617,6564
95,2011,19741,8307,8302,7932,6984,6984,6970,6945
95,2012,18791,8254,8251,7952,6996,6996,6951,6907
97,2007,24115,6445,6368,5329,3937,3937,3356,3279
97,2008,22875,6718,6611,5762,4493,4493,4043,3985
97,2009,22661,7462,7277,6549,5023,5023,4470,4404
97,2010,22476,7057,7011,6008,4519,4519,4142,4079
97,2011,21924,7211,7198,6369,4894,4894,4338,4281
97,2012,25479,8480,8476,7406,5706,5706,4988,4898
